timestamp,id,evento,usuarie,estado,texto-ingresado,respuesta,nivel,genero
1656523866.8244948,e90f5cc8-9315-4923-af65-3817692729d3,cancelada,Isidro,cancelada,-,-,Facil,
1656523874,9f6da1bb-1885-4a93-b577-04e7392a1946,inicio_partida,Isidro,,-,-,Facil,Masculino
1656523880.2561915,9f6da1bb-1885-4a93-b577-04e7392a1946,cancelada,Isidro,cancelada,-,-,Facil,
1672773280,9ac61cf3-d16a-4074-82e3-66b25a3871a5,inicio_partida,Isidro,,-,-,Facil,Masculino
1672773282,9ac61cf3-d16a-4074-82e3-66b25a3871a5,intento,Isidro,error,Imagine Dragons,Ed Sheeran,Facil,Masculino
1672773283,9ac61cf3-d16a-4074-82e3-66b25a3871a5,intento,Isidro,error,P!nk,Disclosure,Facil,Masculino
1672773283,9ac61cf3-d16a-4074-82e3-66b25a3871a5,intento,Isidro,error,Ellie Goulding,Grouplove,Facil,Masculino
1672773284,9ac61cf3-d16a-4074-82e3-66b25a3871a5,intento,Isidro,error,Sia,David Guetta,Facil,Masculino
1672773284,9ac61cf3-d16a-4074-82e3-66b25a3871a5,intento,Isidro,error,Post Malone,Migos,Facil,Masculino
1672773285,9ac61cf3-d16a-4074-82e3-66b25a3871a5,intento,Isidro,error,Charlie Puth,DJ Snake,Facil,Masculino
1672773286,9ac61cf3-d16a-4074-82e3-66b25a3871a5,fin,Isidro,finalizada,,,Facil,Masculino
